element	sp_num	obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
N	3	""	"189.787"	""	"1.95e+05"	C	"376795.7"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).7d"	"4P*"	"1/2"		"T7192LS"	""	
N	3	""	"189.787"	""	"7.80e+03"	D	"376795.7"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).7d"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"189.848"	""	"2.35e+06"	B	"297151.2"	"349824.8"	"2s.2p.(3P*).3s"	"2P*"	"1/2"	"2s2.6s"	"2S"	"1/2"		"T7192LS"	""	
N	3	""	"189.888"	""	"4.23e+06"	B	"376750.4"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"1/2"	"2s.2p.(3P*).7d"	"4D*"	"1/2"		"T7192LS"	""	
N	3	""	"189.888"	""	"2.12e+06"	B	"376750.4"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"1/2"	"2s.2p.(3P*).7d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"190.008"	""	"2.45e+05"	C+	"376856.8"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).7d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"190.008"	""	"7.00e+04"	C	"376856.8"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).7d"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"190.052"	""	"3.38e+06"	B	"376795.7"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).7d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"190.052"	""	"1.97e+06"	B	"376795.7"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).7d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"190.052"	""	"4.22e+06"	B	"376795.7"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).7d"	"4D*"	"1/2"		"T7192LS"	""	
N	3	""	"190.257"	""	"4.68e+06"	B	"297264.4"	"349824.8"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	"2s2.6s"	"2S"	"1/2"		"T7192LS"	""	
N	3	""	"190.273"	""	"2.95e+06"	B	"376856.8"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).7d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"190.273"	""	"4.83e+06"	B	"376856.8"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).7d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"190.273"	""	"1.20e+06"	B	"376856.8"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).7d"	"4D*"	"7/2"		"T7192LS"	""	
N	3	""	"190.327"	""	"3.10e+05"	C+	"376945.2"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"7/2"	"2s.2p.(3P*).7d"	"4P*"	"5/2"		"T7192LS"	""	
N	2	""	"190.4892"	""	"2.91e+06"	C	"170572.61"	"223069.02"	"2s2.2p.3p"	"3P"	"0"	"2s.2p2.(4P).3p"	"3S*"	"1"		"T5520LS"	""	
N	3	""	"190.593"	""	"7.18e+06"	B	"376945.2"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"7/2"	"2s.2p.(3P*).7d"	"4D*"	"7/2"		"T7192LS"	""	
N	3	""	"190.593"	""	"1.59e+06"	B	"376945.2"	"429412.9"	"2s.2p.(3P*).4p"	"4D"	"7/2"	"2s.2p.(3P*).7d"	"4D*"	"5/2"		"T7192LS"	""	
N	2	""	"190.6173"	""	"8.72e+06"	C+	"170607.89"	"223069.02"	"2s2.2p.3p"	"3P"	"1"	"2s.2p2.(4P).3p"	"3S*"	"1"		"T5520LS"	""	
N	6	""	"190.73"	""	"6.711e+07"	AA	"3385890"	"3438320"	"1s.2s"	"3S"	"1"	"1s.2p"	"3P*"	"1"		"T5997LS"	""	
N	6	""	"190.79"	""	"6.705e+07"	AA	"3385890"	"3438304"	"1s.2s"	"3S"	"1"	"1s.2p"	"3P*"	"0"		"T5997LS"	""	
N	3	"190.799"	"190.792"	"200"	"9.68e+08"	C+	"334540.2"	"386953.4"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	"2s.2p.(3P*).4f"	"2F"	"5/2"		"T7192LS"	"L3513"	
N	3	""	"190.808"	""	"1.04e+09"	C+	"334568.3"	"386977.0"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	"2s.2p.(3P*).4f"	"2F"	"7/2"		"T7192LS"	""	
N	2	""	"190.8295"	""	"1.45e+07"	C+	"170666.23"	"223069.02"	"2s2.2p.3p"	"3P"	"2"	"2s.2p2.(4P).3p"	"3S*"	"1"		"T5520LS"	""	
N	3	""	"190.894"	""	"6.90e+07"	C+	"334568.3"	"386953.4"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	"2s.2p.(3P*).4f"	"2F"	"5/2"		"T7192LS"	""	
N	3	""	"191.755"	""	"4.82e+07"	C+	"336206.9"	"388356.8"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	""	
N	3	""	"191.849"	""	"1.60e+08"	C+	"336261.6"	"388385.8"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		"T7192LS"	""	
N	3	""	"191.930"	""	"2.89e+08"	C+	"336206.9"	"388309.3"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	""	
N	3	"191.955"	"191.956"	"150"	"5.13e+08"	C+	"336261.6"	"388356.8"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	"L3513"	
N	3	"191.977"	"191.978"	"150"	"8.01e+08"	C+	"336296.6"	"388385.8"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		"T7192LS"	"L3513"	
N	3	"192.065"	"192.064"	"300"	"9.60e+08"	C+	"336206.9"	"388272.8"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"7/2"		"T7192LS"	"L3513"	
N	3	"192.084"	"192.085"	"150"	"4.00e+08"	C+	"336296.6"	"388356.8"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	"L3513"	
N	3	"192.130"	"192.131"	"200"	"6.71e+08"	C+	"336261.6"	"388309.3"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	"L3513"	
N	5	""	"192.385"	""	"1.56e+07"	B	"709939.2"	"[761918.3]"	"1s2.6s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"3/2"		"T3225LS"	""	
N	5	""	"192.392"	""	"1.56e+07"	B	"709939.2"	"[761916.3]"	"1s2.6s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"1/2"		"T3225LS"	""	
N	3	""	"194.704"	""	"1.01e+08"	B	"317336.2"	"368696.3"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"194.928"	""	"2.35e+08"	B	"317395.2"	"368696.3"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"194.990"	""	"1.40e+08"	B	"317293.6"	"368578.3"	"2s.2p.(3P*).3p"	"4P"	"1/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"195.152"	""	"4.46e+07"	B	"317336.2"	"368578.3"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"195.233"	""	"5.56e+07"	B	"317293.6"	"368514.4"	"2s.2p.(3P*).3p"	"4P"	"1/2"	"2s.2p.(3P*).4s"	"4P*"	"1/2"		"T7192LS"	""	
N	3	""	"195.377"	""	"1.50e+08"	B	"317395.2"	"368578.3"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"195.396"	""	"2.77e+08"	B	"317336.2"	"368514.4"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"1/2"		"T7192LS"	""	
N	3	""	"198.508"	""	"3.00e+07"	B	"311690.3"	"362066"	"2s2.4p"	"2P*"	"1/2"	"2s2.7d"	"2D"	"3/2"		"T7192LS"	""	
N	3	""	"198.607"	""	"5.99e+06"	B	"311715.2"	"362066"	"2s2.4p"	"2P*"	"3/2"	"2s2.7d"	"2D"	"3/2"		"T7192LS"	""	
N	3	""	"198.607"	""	"3.60e+07"	B	"311715.2"	"362066"	"2s2.4p"	"2P*"	"3/2"	"2s2.7d"	"2D"	"5/2"		"T7192LS"	""	
N	6	""	"198.93"	""	"2.711e+08"	AA	"4293020"	"4343290"	"1s.5s"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5997"	""	
N	2	""	"199.1301"	""	"3.69e+07"	B	"164610.76"	"214829.18"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.5s"	"1P*"	"1"		"T5520"	""	
N	3	""	"199.258"	""	"2.48e+06"	B	"379300.1"	"429486.3"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).7d"	"4P*"	"1/2"		"T7192LS"	""	
N	3	""	"199.258"	""	"6.20e+06"	B	"379300.1"	"429486.3"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).7d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"199.436"	""	"4.45e+06"	B	"379344.8"	"429486.3"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).7d"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"199.436"	""	"1.98e+06"	B	"379344.8"	"429486.3"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).7d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"199.436"	""	"1.24e+07"	B	"379344.8"	"429486.3"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).7d"	"4P*"	"1/2"		"T7192LS"	""	
N	3	""	"199.550"	""	"1.25e+07"	B	"379300.1"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).7d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"199.550"	""	"2.51e+07"	B	"379300.1"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).7d"	"4D*"	"1/2"		"T7192LS"	""	
N	3	""	"199.646"	""	"1.04e+07"	B	"379397.6"	"429486.3"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).7d"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"199.646"	""	"6.66e+06"	B	"379397.6"	"429486.3"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).7d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"199.728"	""	"2.10e+07"	B	"379344.8"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).7d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"199.728"	""	"1.60e+07"	B	"379344.8"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).7d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"199.728"	""	"5.00e+06"	B	"379344.8"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).7d"	"4D*"	"1/2"		"T7192LS"	""	
N	3	""	"199.939"	""	"2.99e+07"	B	"379397.6"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).7d"	"4D*"	"7/2"		"T7192LS"	""	
N	3	""	"199.939"	""	"8.98e+06"	B	"379397.6"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).7d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"199.939"	""	"1.50e+06"	B	"379397.6"	"429412.9"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).7d"	"4D*"	"3/2"		"T7192LS"	""	
